매장명,주소,위도,경도
통영죽림터미널점,경남 통영시 광도면 죽림4로 44 (죽림리) 하삼동커피,34.883639115228,128.418090865963
통영한진로즈힐점,"경남 통영시 무전1길 16 (무전동, 씨티빌딩) 1층 105호 하삼동커피",34.8612745006073,128.422239488539
대구경대병원점,대구 중구 달구벌대로 2211 (삼덕동3가) 하삼동커피,35.8629501393211,128.605149013889
울산번영센트리지점,"울산 중구 복산1길 1 (복산동, 번영로센트리지) 4단지동 1층 106호",35.5602341850597,129.327406105468
울산강동산하점,울산광역시 북구 산하중앙2로 283 하삼동커피,35.635654417460664,129.4380020125203
레이카운티점,"부산 연제구 아시아드대로 39 (거제동, 레이카운티) 2단지 상가동 1층 112호 하삼동커피",35.1899959215514,129.066108752828
구미봉곡도량점,경북 구미시 봉곡로 176 (봉곡동) 1층 101호,36.1544781741001,128.31104176893
김해주촌강변점,경남 김해시 주촌면 천곡리 9-2 하삼동커피,35.2397988097449,128.83081820901
대구알파시티점,대구 수성구 대흥동 844-2 하삼동커피,35.8366349954111,128.682624567719
녹산중앙점,부산 강서구 녹산산단335로 24-8 (송정동) 1층 118호 하삼동커피,35.0906958438217,128.854942556515
오시게로점,부산 금정구 오시게로42번길 3 (부곡동) 1층 하삼동커피 오시게로,35.2211571107892,129.087653059224
김해율하2지구점,경남 김해시 율하6로 60 (장유동) 1층 104호,35.1723079610453,128.824022845759
순천조례봉화점,전남 순천시 봉화로 273 (조례동) 1층,34.9582208547406,127.519815521799
울산양정힐스점,"울산 북구 염포로 459 (양정동, 양정힐스테이트) 상가동 1층 하삼동커피 울산양정힐스점",35.551982722704,129.383124566421
인천연수점,"인천 연수구 먼우금로188번길 17 (연수동, 선우빌딩) 1층",37.4136526063789,126.677071783211
나사렛동춘점,"인천 연수구 앵고개로 242 (동춘동, 제일빌딩) 지상1층 111호",37.4086563679205,126.67082587945
