매장명,주소,위도,경도
송도퍼스트파크점,인천 연수구 컨벤시아대로230번길 54 (송도동) 닥터플러스몰 A138호,37.3890111897813,126.634032775089
송도학원가점,"인천 연수구 신송로 153 (송도동, 더 마란츠타워) 110호",37.3971700445042,126.649150139263
송도센트럴파크점,"인천 연수구 인천타워대로 257 (송도동, 송도 아트포레 푸르지오 시티) B-103호",37.3937618144703,126.633308276601
송도타임스페이스점,"인천 연수구 하모니로 158 (송도동, 송도타임스페이스) D동 1층 126호",37.3832947004154,126.64225604799
송도랜드마크시티점,"인천 연수구 랜드마크로 68 (송도동, 랜드마크시티센트럴더샵) 301동 13호",37.4151172407027,126.618222141856
영남대병원점,대구 남구 중앙대로29길 13 (대명동) 1층 하삼동커피,35.8459623984881,128.589466064702
제천백운리솜점,충북 제천시 백운면 천등박달로 1342 (평동리) 하삼동커피,37.1377991060511,128.023794722969
시화로데오점,"경기 시흥시 중심상가3길 9 (정왕동, 청진프라자) 107호",37.345150064395,126.737196855313
시흥능곡역점,"경기 시흥시 장현능곡로 184 (능곡동, 능곡프라자) 106호",37.3694021885167,126.810658162277
시흥장현점,"경기 시흥시 황고개로 526 (장곡동, 중앙프라자) 111호",37.3776119855081,126.789208190438
시흥정왕점,"경기 시흥시 정왕대로 56 (정왕동, 세종월드 빌딩) 1층 112호",37.3545169532043,126.723018122507
시흥월곶점,"경기 시흥시 월곶중앙로 71 (월곶동, 센타프라자) 센타프라자 1층 113호",37.3889633935965,126.737300442745
배곧SK점,"경기 시흥시 배곧3로 27-7 (배곧동, 시흥배곧 에스케이뷰) 상가2동 104호",37.375351414565,126.72305409271
배곧호반써밋점,"경기 시흥시 서울대학로278번길 19-13 (배곧동, 시흥배곧 C1 호반 써밋플레이스) 107동 A-103호",37.3705044199436,126.727970634048
배곧한라비발디점,"경기 시흥시 배곧1로 27-15 (배곧동, 한라비발디캠퍼스) 상가3동 1층 102호",37.3653496024812,126.712516180176
인천서창점,"인천 남동구 서창남순환로 223 (서창동, 아페리온) A동 126호 하삼동커피 인천서창점",37.4248208650094,126.748921233075
인천논현역점,"인천 남동구 논고개로 121 (논현동, 에스닷몰) 1층 106호 하삼동커피 인천논현역점",37.4019303986998,126.723770954923
인천호구포역점,"인천 남동구 호구포로 217 (논현동, H Tower) 1층 102호 하삼동커피 인천호구포역점",37.4024391401766,126.709495417448
인천남동공단점,"인천 남동구 남동서로236번길 30 (논현동, 논현2차푸르지오시티) 1층 116호 하삼동커피 인천남동공단점",37.4095689846042,126.695111543923
인천주안점,"인천 미추홀구 경인로 372 (주안동, 포레나 미추홀) 201동 1층 1005호 하삼동커피 인천주안점",37.4580182017435,126.681163207516
인천부평점,인천 부평구 부평대로 17-1 (부평동) 1층 하삼동커피 인천부평점,37.4929955232219,126.722690851836
인천산곡점,"인천 부평구 마장로272번길 54 (산곡동, 예향스포츠센타) A동 1층 하삼동커피 인천산곡점",37.5021233154766,126.706176924585
산곡중앙점,인천 부평구 세월천로 77 (산곡동) 1층 하삼동커피 산곡중앙점,37.5132447869678,126.700775460739
인천삼산점,인천 부평구 후정로 4 (삼산동) 1층 하삼동커피 인천삼산점,37.5202720508211,126.733068343248
갈산유원테크노점,"인천 부평구 주부토로 236 (갈산동, 인천테크노밸리 U1센터) C동 1층 하삼동커피 갈산유원테크노점",37.5158580433375,126.726800852864
부평그랑힐스점,"인천 부평구 산청로 97 (청천동, e편한세상부평그랑힐스) 상가동 1층 하삼동커피 부평그랑힐스점",37.5190073416627,126.700963642402
인천북항점,"인천 서구 북항로32번안길 41 (원창동, 건원프라자) 1층 하삼동커피 인천북항점",37.5095282663096,126.646698314886
청라시티타워점,"인천 서구 청라한내로72번길 23 (청라동, 쓰리엠파크) 1층 하삼동커피 청라시티타워점",37.532035621874,126.630234090519
인천검단점,"인천 서구 이음5로 70 (원당동, 새샘프라자) 1층 하삼동커피 인천검단점",37.5948102333953,126.715466631964
인천루원시티점,"인천 서구 봉오재3로110번길 7 (가정동, 가정봄프라자) 1층 하삼동커피 인천루원시티점",37.5267388647695,126.672028639431
청라지식산업센터점,인천 서구 중봉대로 490 (청라동) 1층 141호 하삼동커피 청라지식산업센터점,37.5227614575062,126.650465263705
연안부두점,인천 중구 연안부두로33번길 36 (항동7가) 1층 7호 하삼동커피 연안부두점,37.4535705820321,126.605762406773
인천구월아시아드,"인천 남동구 선수촌공원로 36 (구월동, 더블루시티) 1층 110호 하삼동커피 인천구월아시아드점",37.4421653122498,126.710549332736
인천구월점,인천 남동구 문화로 59 (구월동) 1층 하삼동커피 인천구월점,37.4443291632988,126.698645259572
