지역,매장명,주소,위도,경도
서울,신도림아름제일여성병원점,서울특별시 구로구 새말로 94 (구로동) 1층,37.5054702180553,126.890498431184
충청,서산예천점,"충청남도 서산시 예천1로 3-57, 1~2층(예천동)",36.7675634554347,126.44741429456
경기,평택세교점,"경기도 평택시 세교4로 9, 1층(세교동)",37.0055125455692,127.085464616971
대구,대구계명대병원점,"대구광역시 달서구 달구벌대로 1019 (호산동) 동행빌딩 203호,303호",35.8534266993885,128.478893627096
광주,광주광산구청점,광주광역시 광산구 광산로29번길 16 (송정동) 1층,35.1399908531024,126.794226294194
서울,여의도롯데캐슬아이비점,"서울특별시 영등포구 국제금융로 86 (여의도동,롯데캐슬 아이비) 1층 투썸플레이스 여의도롯데캐",37.5202061193308,126.931800002781
서울,노량진점,서울특별시 동작구 노량진로 174 (노량진동) 1층,37.5135021121009,126.945306683857
서울,송파거여역점,"서울특별시 송파구 오금로 495 (거여동,FIAMA) 서울 송파구 거여동 26-3",37.493499608903,127.143963009312
광주,광주마륵DT점,광주광역시 서구 상무대로 632 (마륵동) 1-2층,35.1398886038622,126.83431293104
경기,용인한숲시티점,"경기도 용인시 처인구 남사면 한숲로 84 (완장리,e편한세상용인한숲시티) 1층 투썸플레이스 용인한숲",37.1561090694356,127.173656345397
대구,대구세천점,대구광역시 달성군 다사읍 세천로 109 (세천리) 1~2층,35.8744667563556,128.47788576949
서울,파이낸셜뉴스빌딩점,"서울특별시 서초구 강남대로 315 (서초동,클리포드(주)빌딩) (서초동1338-23)",37.4911154939043,127.030283621972
서울,동묘앞역점[휴점],"서울특별시 종로구 종로 335 (창신동,원풍빌딩) 투썸플레이스 동묘앞역점",37.5731036083714,127.0148243418
대구,대구남구청희망로점,대구광역시 남구 희망로 5 (봉덕동) 투썸플레이스 대구남구청희망로,35.8480337561966,128.599319750422
전북,익산원광대점,전북 익산시 동서로 5길 91,35.9610303484459,126.957671506076
경기,안성공도점,경기도 안성시 공도읍 공도로 25 (용두리) 1층,36.9985618922816,127.163928722772
전라,군산나운점,전라북도 군산시 수송로 123,35.9642414665988,126.709036896761
경상,경북신도청중앙점,경상북도 안동시 풍천면 검무로 10-19(갈전리),36.5753681666582,128.495158231572
경기,수원금곡점,경기도 수원시 권선구 매곡로 108 (금곡동) 1층,37.2708527835825,126.957846191897
서울,뱅뱅사거리점,"서울특별시 서초구 강남대로 263 (서초동,새움빌딩) 1층 투썸플레이스",37.4869210127596,127.032395770475
부산,부산동서대점,부산광역시 사상구 냉정로 113 (주례동) 투썸플레이스 부산동서대점,35.1496865437559,129.01242372356
경기,광교엘포트점,"경기도 수원시 영통구 광교중앙로 145 (이의동,광교엘포트아이파크) 1층",37.2870876096225,127.057781422092
서울,소공로북창점,"서울특별시 중구 세종대로14길 15 (북창동,백영북창빌딩) 1층",37.5629664607293,126.977484727302
충청,충주호암점,"충청북도 충주시 호암수청2로 15,1층(호암동)",36.9566187628818,127.923856575147
서울,동교동삼거리점,서울특별시 서대문구 신촌로 1 (창천동) 1층,37.5588739584805,126.927395065288
서울,중구YTN점,"서울특별시 중구 세종대로5길 22 (봉래동1가,오현) 1층",37.559000773163,126.972995894044
대구,대구7호광장점,대구광역시 달서구 달구벌대로344길 68 (두류동) 투썸대구7호광장점,35.8541026962256,128.551411144497
경상,영천시청점,경상북도 영천시 충효로 60 (문외동) 투썸플레이스,35.9723170015821,128.936196129207
대전,[휴점]대전관저더샵점,"대전광역시 서구 계백로828번길 65 (관저동) 1층, 투썸플레이스",36.2946037486308,127.3232514327
대전,대전노은3지구점,대전광역시 유성구 반석로 51 (반석동) 1층,36.3906236268442,127.308978096413
경기,하남유니온점,"경기도 하남시 신장동로 128 (신장동,하남유치원) 1층",37.5433433807987,127.221541847896
서울,충무로역점,"서울특별시 중구 퇴계로 206 (필동2가,동인빌딩) 동인빌딩",37.5611464081592,126.994812869913
대구,대구남산점,대구광역시 중구 중앙대로 295(남산동) 1층,35.859679157066,128.591524186182
충청,청주오창중부점,"충청북도 청주시 청원구 오창읍 양청송대길 5, 101, 102호(분평동)",36.7423562993671,127.454499829132
충청,천안직산점,"충청남도 천안시 서북구 직산읍 봉주로 54 (삼은리,청운부동산) 1층",36.8769606834366,127.152413015256
경기,향남로데오점,경기도 화성시 향남읍 상신하길로298번길 7-29 (하길리) 1층,37.1143740914017,126.912603971819
경남,진해자은점,경남 창원시 진해구 자은동 143-2,35.1548431347408,128.712939952587
