지역,매장명,주소,위도,경도
전라,정읍중앙점,전라북도 정읍시 수성동 571-11,35.5669915356126,126.853170675301
경기,안양메가트리아점,"경기도 안양시 만안구 태평로 60번길 42, 1층",37.3963332498728,126.930746701312
경기,동탄프리미엄아울렛점,경기 화성시 동탄기흥로257번가길 30-2 101호,37.1808999581074,127.091567301129
경기,안양대림대앞점,경기 안양시 동안구 비산로 57 107호,37.4018294183768,126.931568943138
경북,경주보문점,"경북 경주시 보문로 549 (천군동) 1층, 107호",35.8352907598581,129.284770536342
경기,범계에이스점,경기 안양시 동인구 시민대로109번길 29 1층 118호,,
경기,성남상대원센터엠점,경기 성남시 중원구 사기막골로62번길 33,37.435214464925,127.175146453626
강원,원주기업도시점,"강원도 원주시 지정면 신지정로 322-1, 110호",37.3823882387596,127.873210794528
경기,평택현촌점,경기도 평택시 현촌 4길 6,36.9992293722358,127.132659095904
서울,영등포시장역점,서울 영등포구 국회대로50길 20 포레나영등포센트럴 상가동 117호,37.5238208014076,126.905668672663
대전,대전아이파크시티점,대전광역시 유성구 상대복용로29번길 52,36.3373202239018,127.329714644615
세종,세종첫마을점,세종특별자치시 나성동 715 112호,36.4826113382346,127.26013416707
경기,오산고인돌공원점,"경기 오산시 문헌공로 3, 1층",37.1745161702814,127.05074011902
전남,순천연향3지구점,전남 순천시 연향동 1686-2 1층,34.9341176525215,127.516534454294
경북,경산사동점,경북 경산시 사동 31번지 102호,35.8116884920711,128.754264985209
강원,원주건강보험공단점,"강원도 원주시 반곡동 1913-7 가든식스.(1층 102호,103호)",37.3243901402243,127.98774067028
경북,경북고령다산점,경북 고령군 다산면 평리6길 8,35.8299117057831,128.455070509049
서울,가산AP타워점,서울 금천구 가산동 673(가산디지털1로 16) 가산skv1ap타워 105호,37.4676035637511,126.887997383269
경상,진주혁신점,경상남도 진주시 충무공동 282-3 동행빌딩 105호,35.175888195967,128.148171406793
전라,전남장성점,전라남도 장성군 장성읍 영천리 1038-5 1층,35.3005808871761,126.782273203892
