철도운영기관명,선명,역명,도로명주소,위도,경도
코레일,동해,재송,부산광역시 해운대구 해운대로 100,35.1880486631077,129.120127406285
코레일,동해,남창,울산광역시 울주군 온양읍 남창리 42-36,35.4185132790352,129.282552192062
코레일,동해,덕하,울산광역시 울주군 청량읍 덕하로 229,35.493751556952,129.303549815497
코레일,동해,월내,부산광역시 기장군 장안읍 해맞이로 351-31,35.3279031956242,129.276513273439
코레일,동해,좌천,부산광역시 기장군 장안읍 좌천리 239-4,35.3118001507684,129.245272063868
코레일,동해,태화강,울산광역시 남구 산업로 654,35.5383548270265,129.353666998283
코레일,동해,부산원동,부산광역시 동래구 안락동52-2,35.1938076703956,129.113461334719
코레일,동해,서생,울산광역시 울주군 서생면 화산발리로 1,35.3461267934052,129.293302611307
코레일,동해,망양,울산광역시 울주군 온양읍 망양리 484-1,35.4568340815661,129.287859425669
코레일,동해,개운포,울산광역시 남구 산업로 133,35.5076156322014,129.320952440028
코레일,대경선,대구역,대구광역시 북구 칠성남로30길 지하 24,35.8763437907874,128.597215197964
코레일,대경선,동대구역,대구광역시 동구 동대구로 지하530( 신천동),35.8774298682917,128.62732526467
코레일,대경선,경산,경북 경산시 중앙로 1(사정동),35.8193911083973,128.727508240274
코레일,대경선,구미,경북 구미시 중앙로 76,36.1288548227951,128.330552645238
코레일,대경선,사곡,경북 구미시 상사서로 173-16,36.09826262687,128.356401228538
코레일,대경선,왜관,경북 칠곡군 왜관읍 중앙로 8길 10,35.9918930703993,128.40001139933
코레일,대경선,서대구역,대구광역시 서구 와룡로 527,35.8814797778455,128.54017558255
코레일,서해,곡산,경기도 고양시 일산동구 경의로 160,37.6455215922844,126.801703048195
코레일,서해,김포공항역,서울시 강서구 하늘길 지하77 서해선 김포공항역 역무실,37.562313207852,126.801278424065
코레일,서해,능곡,경기도 고양시 덕양구 토당로 35,37.6189344509008,126.820864666736
코레일,서해,대곡,경기도 교양시 대주로 107번길 71-82,,
코레일,서해,백마,경기도 고양시 일산동구 경의로 318,37.6583237579557,126.794456622803
코레일,서해,부천종합운동장역,경기도 부천시 길주로 지하 502,37.5054804431356,126.797425733321
코레일,서해,일산,경기도 고양시 일산서구 고양대로 673,37.6844057031853,126.770968686571
코레일,서해,풍산,경기도 고양시 일산동구 경의로 486,37.6723127365476,126.786451209886
코레일,서해,원종,경기도 부천시 소사로 752-2,37.5248163736181,126.804845719356
