철도운영기관명,선명,역명,도로명주소,위도,경도
코레일,수인분당,고잔,경기도 안산시 단원구 중앙대로 784,37.3169100461483,126.822032221336
코레일,수인분당,구룡,서울특별시 강남구 개포로 지하 403,37.4870878178945,127.059265605498
코레일,수인분당,구성,경기도 용인시 기흥구 용구대로 2403(마북동460-3),37.2988793074736,127.105772956042
코레일,수인분당,기흥(백남준아트센터),경기도 용인시 기흥구 중부대로 460,37.2753187070748,127.115952887482
코레일,수인분당,남동인더스파크,인천광역시 남동구 은청로 17,37.4077122914703,126.695263757502
코레일,수인분당,달월,경기도 시흥시 서해안로 736번길 55,37.3798590670709,126.745771786914
코레일,수인분당,대모산입구,서울시 강남구 개포로 522,37.4915453291369,127.07316864715
코레일,수인분당,도곡,서울특별시 강남구 남부순환로 2814,37.4908647717187,127.05532337372
코레일,수인분당,망포,경기도 수원시 영통구 덕영대로 지하 1520,37.2456841497125,127.057336156052
코레일,수인분당,매교,경기도 수원시 팔달구 효원로 126,37.2655004781391,127.015737211583
코레일,수인분당,매탄권선,경기도 수원시 영통구 권선로 841,37.2525376014138,127.040759754726
코레일,수인분당,모란,경기도 성남시 중원구 성남대로 지하 1147,37.4321852954985,127.129033977612
코레일,수인분당,미금(분당서울대병원),경기도 성남시 분당구 성남대로 156,37.3500951835995,127.108932846326
코레일,수인분당,고색,경기도 수원시 권선구 매송고색로 지하 690,37.2497345449406,126.980489229873
코레일,수인분당,보정,경기도 용인시 기흥구 용구대로 2560,37.3128675342649,127.10844637426
코레일,수인분당,복정(동서울대학),서울특별시 송파구 송파대로 6,37.4710560005054,127.126771228018
코레일,수인분당,오목천,경기도 수원시 권선구 삼천병마로 지하1570,37.2434177994712,126.964064314535
코레일,수인분당,상갈(루터대학교),경기도 용인시 기흥구 금화로 40,37.2618298132945,127.108877632339
코레일,수인분당,어천,경기도 화성시 매송면 어천역길 8(어천리),37.2501194651185,126.908785661434
코레일,수인분당,야목,경기도 화성시 매송면 본오매송로 286,37.2611631102351,126.884167794597
코레일,수인분당,서울숲,서울특별시 성동구 왕십리로 77,37.5436182408959,127.044706934942
코레일,수인분당,서현,경기도 성남시 분당구 성남대로 지하601,37.3850142562829,127.123430800216
코레일,수인분당,선릉,서울특별시 강남구 테헤란로 지하340,37.5045028775835,127.048942471228
코레일,수인분당,선정릉(한국과학창의재단),서울시 강남구 선릉로 지하580(삼성동 111-114),37.5108538860091,127.043641042222
코레일,수인분당,사리,경기도 안산시 상록구 충장로 103,37.2908856912992,126.857182474188
코레일,수인분당,소래포구,인천시 남동구 소래역로 51번길,37.4009287634109,126.733519454146
코레일,수인분당,송도,인천광역시 연수구 비류대로 175 송도역,37.429936352757,126.654627246887
코레일,수인분당,수내(한국잡월드),경기도 성남시 분당구 성남대로 지하491,37.3784524525527,127.114295370128
코레일,수인분당,수서,서울특별시 강남구 광평로 지하270 지하1층(수서동),37.4873889933503,127.101859191018
코레일,수인분당,수원,경기도 수원시 팔달구 덕영대로 944 924 애경백화점,37.2643495306895,127.001623628119
코레일,수인분당,수원시청(경기도문화의전당),경기도 수원시 권선구 효원로 270,37.2618436720598,127.031256454587
코레일,수인분당,숭의(인하대병원),인천시 미추홀구 인주대로 지하 6,37.4603808978026,126.63875878501
코레일,수인분당,신갈,경기도 용인시 기흥구 기흥로 136,37.286222191892,127.111247645105
코레일,수인분당,신길온천,경기도 안산시 단원구 황고개로 2 ,37.3375787569365,126.767149151692
코레일,수인분당,신포,인천시 중구 우현로 지하 3 (사동),37.4683706477088,126.624560557145
코레일,수인분당,안산,경기도 안산시 단원구 중앙대로 462,37.3279773719144,126.787289454372
코레일,수인분당,압구정로데오,서울시 강남구 압구정로 지하 402,37.5272937126775,127.040512934835
코레일,수인분당,야탑,경기도 성남시 분당구 성남대로 지하 903,37.411051183903,127.12872651224
코레일,수인분당,연수,인천시 연수구 벚꽃로 115,37.4178036012082,126.678963980409
코레일,수인분당,영통(경희대),경기도 수원시 영통구 봉영로 1560,37.2514466747718,127.071296921866
코레일,수인분당,오리,경기도 성남시 분당구 성남대로 55,37.3399767000124,127.108947909824
코레일,수인분당,오이도,경기도 시흥시 역전로 430,37.3619270024133,126.738463594077
코레일,수인분당,왕십리,서울특별시 성동구 왕십리광장로 18,37.5608968338207,127.03838259661
코레일,수인분당,원인재,인천광역시 연수구 벚꽂로 195,37.4132393289569,126.686383152927
코레일,수인분당,월곶,경기도 시흥시 월곶중앙로 14번길 56,37.3918135876495,126.742708150113
코레일,수인분당,이매(성남아트센터),경기도 성남시 분당구 성남대로 지하738(이매동),37.3956853431968,127.12824815972
코레일,수인분당,인천,인천광역시 중구 제물량로 269,37.4765938446837,126.617089760956
코레일,수인분당,인천논현,인천광역시 남동구 청능대로 567,37.4006702911636,126.722563735787
코레일,수인분당,인하대,인천시 미추홀구 독배로 313,37.4482284563797,126.649653068211
코레일,수인분당,정왕,경기도 시흥시 마유로418번길 15,37.3517739382788,126.743009420685
코레일,수인분당,정자,경기도 성남시 분당구 성남대로 333,37.3661836450479,127.10806292752
코레일,수인분당,죽전(단국대),경기도 용인시 수지구 포은대로 530,37.3248589967477,127.107392767338
코레일,수인분당,중앙,경기도 안산시 단원구 중앙대로 918,37.3160120851693,126.838496502051
코레일,수인분당,청량리,서울특별시 동대문구 왕산로 214,37.584197400389,127.05114503929
코레일,수인분당,청명,수원시 영통구 봉영로1670,37.2595060450476,127.078981816646
코레일,수인분당,초지,경기도 안산시 단원구 중앙대로 620,37.3206930878552,126.805905689102
코레일,수인분당,태평,경기도 성남시 수정구 성남대로 1229,37.4398906358669,127.127671669567
코레일,수인분당,한대앞,경기도 안산시 상록구 충장로 337,37.310138887688,126.853604115068
코레일,수인분당,한티,서울특별시 강남구 선릉로 228 지하1층,37.4962424687085,127.052882352599
코레일,수인분당,호구포,인천광역시 남동구 호구포로 205,37.4016559405807,126.708639070703
코레일,경춘,가평(자라섬.남이섬),경기도 가평군 가평읍 문화로 13-42,37.8142501843797,127.511017051625
코레일,경춘,갈매,구리시 경춘북로 229,37.6339772561856,127.114708032421
코레일,경춘,강촌,강원도 춘천시 남산면 강촌로 150,37.8058752673743,127.634294485808
코레일,경춘,광운대,서울특별시 노원구 석계로 98-2,37.6230335564713,127.06176348127
코레일,경춘,굴봉산(제이드가든),강원도 춘천시 남산면 서백길 192,37.8320717143359,127.557478763545
코레일,경춘,금곡,경기도 남양주시 금곡로19번길 47(금곡동),37.6374291258618,127.207936199566
