매점명,지역,주소,위도,경도
부천소풍점,경기도,경기도 부천시 원미구 송내대로 239  (상동 소풍 2층 F01-2호),37.5041446553817,126.756721807955
포항중앙점,경상북도,경상북도 포항시 북구 대흥동 725,36.0384729152329,129.364040964829
장미의거리점,전라남도,전라남도 목포시 상동 1003-1 1층,34.8028845386143,126.427369557643
인천작전역점,인천,인천시 계양구 작전동 864-24 2층,37.5309360945685,126.721897763265
대구수변공원점,대구,대구광역시 달서구 도원동 949-1,35.7981668881394,128.548688334854
여수엑스포점,전라남도,전라남도 여수시 수정동 215-1,34.7431668161328,127.750045858999
국악고점,서울,서울시 강남구 개포동 1197-2,37.4752895219453,127.050411070806
금정역점,경기도,경기 군포시 산본동 26-5,37.3605082,126.9360912
광주광천점,광주,광주광역시 서구 죽봉대로 80 무등산타워 1층,35.1604640248992,126.883911161553
울산달동점,,울산광역시 남구 달동 1394-14,35.5323395468933,129.320124502834
오산대점,경기도,경기도 오산시 궐동 93-2 모터프라자1층,37.1571295042654,127.065045011487
천안역점,,충청남도 천안시 동남구 대흥동 124-2 1~2,36.8085719411705,127.14739168278
인천엠파크점,인천,인천 서구 가좌동 178-105 엠파크,37.4895579539236,126.662739804989
동촌유원지점,대구,대구광역시 동구 효목동 1087-6,35.8804996951771,128.652276457943
스마트시티점,대전,"대전시 유성구 도룡동 4-7 스마트시티 504동 121,122호",36.3772513004526,127.394744638952
서여의도점,서울,"서울 영등포구 여의도동 13 진미파라곤 1F 111호, 112호",37.5309560903106,126.921132661482
청주개신점,충청북도,충청북도 청주시 흥덕구 개신동 52-4,36.6250525950185,127.464576230193
전주서신점,전라북도,전라북도 전주시 완산구 서신동 889-7,35.8255234282908,127.118605191141
청주용암점,충청북도,충청북도 청주시 상당구 용암동 1635,36.6095363539183,127.503855116448
오창호수공원점,충청북도,충북 청주시 청원구 오창읍 양청리 752-4번지,36.7158636712994,127.422736042178
김해삼계점,경상남도,경남 김해시 삼계동 1453-6,35.2628494830742,128.875504738017
수지성복점,경기도,경기도 용인시 수지구 성복동 401,37.3195846243134,127.061054567141
울산세이브존,울산,울산광역시 남구 삼산동 1377-9,35.5485183647838,129.324156037985
주안역점,인천,인천광역시 남구 주안로 116 (리가스퀘어 1층),37.463477279369,126.682519496276
경산하양점,경상북도,경상북도 경산시 하양읍 금락리 116-358,35.910108046674,128.815105270546
디큐브아트센터점,서울,서울 구로구 신도림동 360-51 디큐브아트센터 7층,37.5105701,126.8831597
인천연수역점,인천,인천 연수구 청학동 499 푸르지오 102호,37.4170623433121,126.677047880587
잠실역점,서울,서울 송파구 신천동 7-25 월드타워 1F,37.5151093387761,127.099737878523
센트로서울대점,서울,서울특별시 관악구 관악로 1 서울대학교 111동,37.4662872666604,126.94815644252
목포한국병원점,전라남도,전라남도 목포시 상동 148-1 목포한국병원 1층,34.8089892861578,126.416429907503
광주풍암점,광주,"광주 서구 풍암동 1116 1,2층",35.1266750516201,126.879119820342
울산 일산테라스파크점,울산,"울산시 동구 일산동 945번지 테라스파크 A동 109,112,113호",35.4997970975413,129.429267380769
판교도서관점,경기도,경기도 성남시 분당구 판교동 605-7,37.3903217254981,127.09347145653
양산점,경상남도,"경남 양산시 중부동 686-7 양산역프라자 109,110호",35.3379769528376,129.027438497623
보라매공원점,서울,서울시 영등포구 신길동 4327 1층 카페 파스쿠찌,37.4973425467976,126.916574827924
가천대점,경기도,경기 성남시 수정구 복정동 경원대학교 캠퍼스 內 비전타워 103-2,37.4658074787091,127.127149746638
부산역점,부산,부산 동구 초량3동 1187-1 부산역 2층 맞이방,35.1157106052968,129.042821238826
레이킨스몰점,경기도,경기 고양시 일산구 대화동 2602번지  파스쿠찌 레이킨스몰점,37.6679946733069,126.751646859873
영통구청점,경기도,경기 수원시 영통구 매탄동 1267-7 중앙프라자 1F 103호,37.2590458692116,127.045143548049
화성동탄점,경기도,"경기도 화성시 반송동 93-2번지 에스알골드프라자 118,119호 파스쿠찌  화성동탄점",37.2045438990877,127.07279627105
포스코센터점,서울,서울시 강남구 대치동 891-43 MSA빌딩 1F,37.505428505232,127.055221021113
수원AK점,경기도,경기도 수원시 팔달구 덕영대로 924 수원역 3F(AK플라자),37.2655920786365,127.000179930083
센트로광안리점,부산,부산 수영구 광안해변로 241 (민락동) 카페 파스쿠찌 센트로광안리점 1~4층,35.1548238313287,129.120262449844
센트로서면점,부산,"부산 진구 동천로 73 1층, 2층",35.1552332975378,129.062098734086
강변테크노마트점,서울,"서울시 광진구 광나루로56길 85, 지하1층 D-10호",37.535725176732,127.095692162256
목포하당점,전라남도,전남 목포시 상동 889번지 파스쿠찌 목포하당점,34.8036667890595,126.420669490956
