노선명,역명,총 승차승객수,총 하차승객수
경부선,광명,3596.3548387096776,3005.6129032258063
경부선,구로,15761.225806451614,15962.0
경부선,군포,6011.096774193548,5874.0
경부선,금정,25758.41935483871,26179.354838709678
경부선,금천구청,9838.709677419354,10039.838709677419
경부선,남영,8647.677419354839,8978.967741935483
경부선,노량진,8646.612903225807,8779.258064516129
경부선,당정,5278.322580645161,5044.5161290322585
경부선,대방,9195.806451612903,10288.354838709678
경부선,독산,14798.0,15047.741935483871
경부선,두정,6377.5161290322585,6478.1612903225805
경부선,명학,7262.096774193548,7118.129032258064
경부선,병점,13511.709677419354,13473.645161290322
경부선,서동탄,1294.0967741935483,1095.6774193548388
경부선,서울역,11227.967741935483,3949.3548387096776
경부선,서정리,7610.258064516129,7247.1612903225805
경부선,석수,7303.064516129032,6747.774193548387
경부선,성균관대,13680.774193548386,13465.225806451614
경부선,성환,3455.8709677419356,3370.9032258064517
경부선,세류,3199.9032258064517,2998.1612903225805
경부선,세마,3056.6774193548385,2904.5806451612902
경부선,송탄,3996.8709677419356,3923.2580645161293
경부선,수원,37164.48387096774,38722.41935483871
경부선,신길,7862.387096774193,6967.1612903225805
경부선,신도림,3464.0967741935483,3782.7419354838707
경부선,안양,20051.8064516129,19820.58064516129
경부선,영등포,42038.22580645161,42310.77419354839
경부선,오산,9647.483870967742,9637.806451612903
경부선,오산대,3345.0967741935483,3072.0
경부선,용산,46516.54838709677,46609.83870967742
경부선,의왕,8107.967741935484,7995.4838709677415
경부선,직산,919.1290322580645,896.8387096774194
경부선,진위,1423.225806451613,1291.258064516129
경부선,천안,5776.709677419355,5865.225806451613
경부선,평택,11842.58064516129,11608.548387096775
경부선,평택지제,4131.774193548387,3861.8387096774195
경부선,화서,10407.741935483871,10176.064516129032
경원선,가능,5693.1612903225805,5502.774193548387
경원선,광운대,7246.967741935484,6951.258064516129
경원선,녹양,3872.935483870968,3714.2258064516127
경원선,녹천,4000.7741935483873,3416.1290322580644
경원선,덕계,5593.774193548387,5252.5161290322585
경원선,덕정,5198.096774193548,4909.645161290323
경원선,도봉,5359.774193548387,5136.741935483871
경원선,도봉산,6795.322580645161,4386.032258064516
경원선,동두천,1437.741935483871,1397.3225806451612
경원선,동두천중앙,2532.8709677419356,2438.0967741935483
경원선,망월사,6785.967741935484,6895.870967741936
경원선,방학,9337.161290322581,9154.451612903225
경원선,보산,1366.258064516129,1300.741935483871
경원선,서빙고,2105.2258064516127,2011.741935483871
경원선,석계,6777.290322580645,7320.612903225807
경원선,소요산,1547.5483870967741,1562.032258064516
경원선,신이문,7755.903225806452,7238.580645161291
경원선,양주,6192.419354838709,5971.096774193548
경원선,연천,850.7741935483871,809.1612903225806
경원선,옥수,48.516129032258064,32.0
경원선,왕십리(성동구청),15950.09677419355,16250.709677419354
경원선,외대앞,10201.258064516129,10000.09677419355
경원선,월계,5665.290322580645,5292.096774193548
경원선,응봉,1628.8064516129032,1417.0645161290322
경원선,의정부,17846.064516129034,18052.225806451614
경원선,이촌(국립중앙박물관),3714.8709677419356,3008.1612903225805
경원선,전곡,1113.6451612903227,1025.5483870967741
경원선,지행,5733.4838709677415,5750.258064516129
경원선,창동,4.645161290322581,0.0
경원선,청량리(서울시립대입구),17536.677419354837,17395.74193548387
경원선,청산,133.4516129032258,108.12903225806451
경원선,한남,3447.7741935483873,3444.451612903226
경원선,회룡,11964.129032258064,11706.193548387097
경의선,가좌,5609.322580645161,5482.580645161291
경의선,강매,2893.4193548387098,2475.1935483870966
경의선,검암,0.0967741935483871,0.0
경의선,계양,0.12903225806451613,0.0
