매장명,주소,위도,경도
(상)내린천휴게소점,강원도 인제군 상남면 서울양양고속도로 117  서울방향 내린천휴게소 4층,37.9175359926716,128.288289857084
대전호수공원점,"대전광역시 서구 도안동로 234-42 1,2층 도안동 2336",36.3262394707576,127.35028742849
국립부경대청운관점,"부산광역시 남구 용소로 45 (대연동, 국립부경대학교대연캠퍼스) 청운관 1층",35.1311780304316,129.105045490948
(상)홍천휴게소R점,강원도 홍천군 화촌면 서울양양고속도로 83 .,37.7589790243312,128.006514282282
이천점,"경기도 이천시 어재연로 35, 1~3층 (창전동 160-25)",37.2797576972593,127.445171271783
(하)정안알밤휴게소점,충청남도 공주시 정안면 논산천안고속도로 57 (정안하행휴게소) .,36.5707960910293,127.112004437346
(상)정안알밤휴게소점,충청남도 공주시 정안면 논산천안고속도로 58 (정안상행휴게소) .,36.5694495299682,127.115102332782
제주곽지해수욕장점,제주특별자치도 제주시 애월읍 곽지3길 27-1 2~3층,33.4487329631013,126.305441687979
신대방삼거리역점,서울특별시 동작구 상도로 60 (대방동) 1층~2층,37.4995614234716,126.927153186125
대전삼부스포렉스점,"대전광역시 중구 태평로 83, 삼부스포렉스 1층 (태평동 408-11) .",36.3241152130805,127.3937481484
익산부송점,"전라북도 익산시 하나로10길 70-1 (부송동, 레스트빌딩 1층) .",35.961406370385,126.989041167117
진해속천점,경상남도 창원시 진해구 태평로 132 (속천동) 2~3층,35.1422708255695,128.670438053382
여의도포스트타워점,서울특별시 영등포구 여의나루로 60 포스트타워 여의도 1층,37.5223003029771,126.926225192863
대림역점,서울특별시 영등포구 도림로 140 대림빌딩 101호,37.4930241705718,126.897628371815
대천비치점,충청남도 보령시 해수욕장4길 12 (신흑동) .,36.3057455538545,126.516563505417
부산동래온천점,부산광역시 동래구 금강로 116 (온천동) 금강메디컬타워 1층,35.2189848849705,129.07991341737
충정로역점,서울특별시 서대문구 경기대로 26-26 어바니엘충정로 201동 지하1층 102호,37.5610226183,126.962192415514
부산고신대의과대학점,부산광역시 서구 감천로 262 고신의대 강의동 1층,35.0810780661749,129.014512799533
대구수성못DI점,대구광역시 수성구 용학로 62 1~2층,35.8261171273303,128.616614640888
경상국립대학생회관점,경상남도 진주시 진주대로 501 경상국립대 학생회관 1층,35.1567141271262,128.098001405271
서서울공원점,서울특별시 양천구 남부순환로58길 37 신월동 205-36,37.5291587223783,126.831707115465
AK&세종점,세종특별자치시 한누리대로 411 KT&G 세종타워A,36.5011321800617,127.258850981903
일산장항점,"경기도 고양시 일산동구 중앙로1275번길 56 (장항동, 루비튜스데이) 1~2층",37.6590838338992,126.770287751388
전북대 후생관점,전북특별자치도 전주시 덕진구 백제대로 567 후생관 1층,35.8411382714422,127.131588969832
전북대 진수당점,전북 전주시 덕진구 백제대로 567 (전북대 진수당 연구동 1층) .,35.8411382714422,127.131588969832
전북대 중도라운지점,전북 전주시 덕진구 백제대로 567 중앙도서관 1층,35.8411382714422,127.131588969832
경희대 청운관점,서울 동대문구 경희대로 26 청운관 지하1층,37.5939491407769,127.054890960564
덕성여대점,서울시 강북구 삼양로 547 1~3층,37.6516375000425,127.012463182729
전주백제대로점,전라북도 전주시 덕진구 백제대로 592 1층,35.8408964267771,127.1345528895
당산1가점,"서울특별시 영등포구 양산로 146, DE' HAR (당산동1가 256,258)",37.5235012531296,126.899170493803
경북도청점,경북 예천군 호명면 산합리 1427 1~2층,36.5768379397049,128.480907041609
부산백양대로DI점,부산광역시 사상구 백양대로 621 (괘법동) 2~4층,35.1629343741571,128.990466953106
