매장명,주소,구,위도,경도
관악산으뜸점,서울 관악구 신림로 21 (신림동) 으뜸공원휴게소 2층,관악구,37.4684727257098,126.944897173087
관악인헌점,서울 관악구 인헌길 74 (봉천동) 1층,관악구,37.4722167110499,126.966591903588
건대역점,서울 광진구 화양동 7-3 한림타워 101호,광진구,37.540816040886,127.069031304229
군자역점,"서울 광진구 능동로 290 (능동, 삼일빌딩) 1층 105호",광진구,37.5555832993412,127.078979184085
아차산역점,서울 광진구 구의동  663,광진구,37.547855981863,127.09307529677
자양동점,서울 광진구 자양동  681-15,광진구,37.5322385671945,127.085979201677
자양우성점,서울특별시 광진구 자양번영로 34 (자양동 제이원하이텔 ),광진구,37.5327019732956,127.075820421522
동서울터미널점,서울 광진구 구의동  547 강변현대하이엘 109호,광진구,37.534151371835,127.09221581351
세종대후문점,서울 광진구 군자동  102-1,광진구,37.5528730608242,127.071991392913
중곡대원점,서울특별시 광진구 용마산로 111,광진구,37.5635945424938,127.086643404936
건대스타시티점,"서울 광진구 아차산로 272 1층 5호(자양동, 더샵스타시티 1층)",광진구,37.5385582736952,127.072996184863
건대스타시티2호점,"서울 광진구 능동로 92 201호(자양동, 스타시티몰 지하2층)",광진구,37.5390373908314,127.071432147214
구의자양로점,서울 광진구 자양로 251 (구의동) 1층,광진구,37.5489991036635,127.089309502858
중곡신성점,"서울 광진구 용마산로 37 (중곡동, 이안빌딩) 1층",광진구,37.557021695282,127.087723525693
자양사거리점,서울 광진구 자양로 81 1층 103호,광진구,37.5351324957877,127.083842770754
혜민병원점,"서울 광진구 자양로 85 (자양동, 혜민병원) 1층",광진구,37.5354377087993,127.083398686427
자양문원점,서울 광진구 아차산로 345 1F,광진구,37.5375052411306,127.08158295574
구로이마트점,서울 구로구 구로동 188-26,구로구,37.4843488937857,126.897921857206
신도림테크노마트점,서울 구로구 구로동  3-25,구로구,37.5069739187173,126.890319120085
개봉현대점,서울 구로구 개봉로 69 2층(개봉동),구로구,37.4919033153723,126.85561013455
