브랜드명,지역,매장명,주소,위도,경도
더벤티,충남,아산테크노밸리점,충청남도 아산시 둔포면 아산밸리중앙로 82 (석곡리) 1층 107호,36.9232594940192,127.05722323141
컴포즈커피,충북,진천금호어울림점,충청북도 진천군 이월면 송림1길 19 상가동 104호,36.9296865606415,127.426706918408
컴포즈커피,충북,진천금호어울림점,충청북도 진천군 이월면 송림1길 19 상가동 104호,36.9296865606415,127.426706918408
메가커피,충북,충북음성점,충청북도 음성군 음성읍 수정로 55 (읍내리),36.9350219729284,127.692519123316
빽다방,충북,충북음성점,충청북도 음성군 음성읍 수정로 55 (읍내리) 1층,36.9350219729284,127.692519123316
컴포즈커피,충남,당신송악점,충청남도 당진시 송악읍 신복운로3길 23-1 1층,36.9409949741669,126.782111599897
컴포즈커피,충남,당진송악점,충청남도 당진시 송악읍 신복운로3길 23-1 1층,36.9409949741669,126.782111599897
투썸플레이스,충남,행담도휴게소(하)점,충청남도 당진시 신평면 서해안고속도로 275,36.9451430591607,126.807129050488
투썸플레이스,충남,행담도휴게소(상)점,충청남도 당진시 신평면 서해안고속도로 275,36.9451430591607,126.807129050488
파스쿠찌,충남,행담도휴게소,충청남도 당진시 신평면 서해안고속도로 275,36.9451430591607,126.807129050488
던킨도너츠,충남,행담도휴게소,충청남도 당진시 신평면 서해안고속도로 275 (매산리),36.9451430591607,126.807129050488
메가커피,충북,충주호암점,"충청북도 충주시 호암토성2로 3 , 1층 112호 (호암동)",36.9557981016358,127.934493543869
공차,충북,충주호암점,충청북도 충주시 호암토성2로 3 1층 102호,36.9557981016358,127.934493543869
컴포즈커피,충북,충주호암한신더휴점,충청북도 충주시 호암토성2로 7 (호암동),36.9558005259113,127.93500970479
던킨도너츠,충북,충주호암,충청북도 충주시 호암토성2로 7 (호암동) 106호,36.9558005259113,127.93500970479
던킨도너츠,경기,평택험프리스DSC,경기도 평택시 팽성읍 안정순환로 118 (안정리),36.9590971521003,127.043155276094
던킨도너츠,경기,평택험프리스모닝캄,경기도 평택시 팽성읍 안정순환로 118 (안정리),36.9590971521003,127.043155276094
빽다방,경기,평택안중점,경기도 평택시 안현로서8길 57,36.9790858343848,126.919416463803
더벤티,경기,평택안중점,"경기도 평택시 안중읍 안현로서8길 57 (현화리, 붐붐프라자) 112호",36.9790858343848,126.919416463803
더벤티,충북,롯데마트충주점,"충청북도 충주시 봉계1길 49 (칠금동, 충주공용버스터미널)",36.9815232777626,127.914348036478
던킨도너츠,충북,충주터미널,충청북도 충주시 봉계1길 49 (칠금동),36.9815232777626,127.914348036478
이디야,경기,평택포승점,경기도 평택시 포승읍 여술로 20 102호,36.9877168660446,126.844748644396
던킨도너츠,경기,평택포승,경기도 평택시 포승읍 여술로 20 (도곡리),36.9877168660446,126.844748644396
빽다방,경기,평택로데오점,경기도 평택시 평택2로 10번길 34 (평택동),36.9919810173463,127.089227232544
컴포즈커피,경기,평택역로데오점,경기도 평택시 평택2로10번길 34 (평택동),36.9919810173463,127.089227232544
디저트39,경기,평택용죽점,경기도 평택시 용죽2로 32-25 (용이동) 101호,36.9924464081657,127.124484254348
하삼동커피,경기,평택용죽점,경기도 평택시 용죽2로 32-25 (용이동) 디하엔 1층 101호,36.9924464081657,127.124484254348
스타벅스,경기,스타필드안성R,경기도 안성시 공도읍 진사리 354 스타필드 안성,36.9939707964094,127.147433921955
스타벅스,경기,스타필드안성3F,"경기도 안성시 공도읍 진사리 354 스타필드 안성 L3층, 3205",36.9939707964094,127.147433921955
공차,경기,스타필드안성점,경기도 안성시 공도읍 서동대로 3930-39 스타필드안성 3층 3190호,36.9946334108693,127.147249620616
폴바셋,경기,스타필드 안성점,경기도 안성시 공도읍 서동대로 3930-39 스타필드안성점 2층 2300호,36.9946334108693,127.147249620616
빽다방,경기,안성아양점,경기도 안성시 옥산동 598(안성시 아양1로 77-10) 해천프라자 1동 103호,37.0078400025632,127.25836948456
메머드커피,경기,안성아양점,"경기도 안성시 옥산동 598, 해천프라자 1동 1층 105호",37.0078400025632,127.25836948456
메가커피,경기,평택소사벌중흥점,"경기도 평택시 비전3로 115 (죽백동, 평택소사벌중흥에스-클래스에코시티)",37.0085749450931,127.111635856665
컴포즈커피,경기,평택소사벌중흥점,"경기도 평택시 비전3로 115 (죽백동, 평택소사벌중흥에스-클래스에코시티)",37.0085749450931,127.111635856665
메가커피,경기,평택법원점,경기도 평택시 평남로 1039 (동삭동),37.0094403076294,127.096019381091
빽다방,경기,평택법원점,경기도 평택시 평남로 1039 105호,37.0094403076294,127.096019381091
공차,경기,안성휴게소점 부산방향,"경기도 안성시 원곡면 경부고속도로 365, 안성(부산방향)휴게소",37.0135818447457,127.144715602331
할리스,경기,(하)안성휴게소점,경기도 안성시 원곡면 경부고속도로 365 안성휴게소(부산방향) .,37.0135818447457,127.144715602331
메가커피,충북,서충주신도시점,"충청북도 충주시 중앙탑면 원앙9길 15 , A-2동 1층",37.0157412993212,127.825918770774
공차,충북,서충주기업신도시점,"충청북도 충주시 중앙탑면 원앙9길 15, A-2동 118호",37.0157412993212,127.825918770774
하삼동커피,충북,충주기업도시점,충청북도 충주시 중앙탑면 원앙9길 15 A-2동 125호 하삼동커피,37.0157412993212,127.825918770774
