매점명,주소,위도,경도
검단현해점,"인천 서구 고산후로 285 (불로동, 현해타워2) B10호",37.6092252331955,126.698276220185
제주노형이편한세상점,제주특별자치도 제주시 수덕로 69 (노형동) 1층,33.4844241345135,126.470607092953
순천연향3지구점,"전남 순천시 팔마4길 26 (연향동, 핸디빌) 핸디빌 1층 더벤티 순천연향3지구점",34.9344343810782,127.515859464131
여수미평공원점,전남 여수시 둔덕2길 6-4 (미평동) 1층,34.767062231762,127.702750536544
창원법원점,경남 창원시 성산구 사파동 124-13 1층,35.2234756464265,128.699534720253
여수유월드점,전남 여수시 소라면 안심산길 155 (죽림리) 1층,34.7479095015878,127.641463543146
포항대송점,경북 포항시 남구 대송면 제내길 37 (제내리) 1층,35.9829706894069,129.363147017172
안산반달섬점,경기 안산시 단원구 엠티브이17로 6 (성곡동) 104호,37.3037614583733,126.736043246345
구미도량주공점,경북 구미시 송동로 149 (도량동) 1층,36.1458881328392,128.322777728866
전주송천뜨란채점,전북특별자치도 전주시 덕진구 송천동2가 241-1 1층,35.8664797840265,127.124113867985
포항펜타시티점,"경북 포항시 북구 흥해읍 펜타시티단지로 61 (대련리, 포항펜타시티 대방엘리움 퍼스티지I) B207호",36.0595722450302,129.307744556442
대구성광우방점,"대구 북구 호암로 20 (칠성동2가, 성광우방타운) 상가 102호, 103호",35.8826629400748,128.592024742914
신검단중앙역점,"인천 서구 금정로 12 (불로동, 신검단중앙역풍경채어바니티) 상가동 125호",37.605612464213,126.698949129407
면목2동점,"서울 중랑구 봉우재로14길 31 (면목동, 삼영빌딩) 1층",37.5891214512213,127.078347378111
일산국립암센터점,경기 고양시 일산동구 일산로316번길 5-10 (마두동) 1층,37.6642902343159,126.785008959024
청주터미널점,"충북 청주시 흥덕구 풍산로 18 (가경동, 터미널타워) 1층",36.6258573017598,127.432823596383
양주고읍점,경기 양주시 고읍남로 10 (광사동) 105호,37.7954018235321,127.079950335085
대전한남대점,대전 대덕구 한남로 26 (오정동) 1층,36.351321724123,127.425354724822
대전은행점,대전 중구 중앙로164번길 35 (은행동) 1층,36.327900328618,127.428694155126
대구만촌3동점,대구 수성구 교학로 14 (만촌동) 1층,35.8539820779174,128.652341939103
부천작동점,경기 부천시 오정구 삼작로 481 (작동) 1층,37.5189170458333,126.815080503886
을지로4가역점,서울 중구 을지로 186 (을지로4가) 1층,37.5664126594586,126.998786830156
안산역점,경기 안산시 단원구 중앙대로 455 (원곡동) 1층,37.3282921657513,126.78984634548
경산하양대가대점,경상북도 경산시 하양읍 하양로 42 1층,35.9093981219124,128.814368411653
롯데마트광복점,부산 중구 중앙동7가 20-1 1층,35.0979951352382,129.036103332564
여수봉계점,전남 여수시 봉계동 33-51 1층,34.7837495102029,127.694067724903
충북대점,충북 청주시 서원구 내수동로102번길 42 (사창동) 1층,36.6323829213457,127.456676844711
천안삼룡스크린골프점,충남 천안시 동남구 삼룡4길 58-4 (삼룡동) 1층,36.7804359703957,127.171328163859
종로공평점,"서울 종로구 삼봉로 95 (견지동, 종로1가 대성 스카이렉스)  종로1가 대성스카이렉스",37.5723111874784,126.982568392463
남양주연평리점,경기 남양주시 진접읍 양진로 956 (연평리) 106호,37.7042693775193,127.180597535339
용인고진역힐스점,"경기 용인시 처인구 고림로162번길 15 (고림동, 힐스테이트 용인 고진역 1단지) 103-1호",37.2443104606725,127.221570566194
이대점,서울 서대문구 이화여대길 68 (대현동) 1층,37.5593127212475,126.944645184819
마석원병원점,경기 남양주시 화도읍 경춘로 1943 (창현리) 1층,37.6514701378882,127.304259007348
구미강동점,경북 구미시 진평동 120-1 1층,36.0952137434328,128.423478230394
대구금호점,대구 북구 내곡로 36 (사수동) 1층,35.8988189336567,128.509859295686
