매점명,주소,위도,경도
롯데백화점 관악점,서울특별시 관악구 봉천로 209 롯데백화점 관악점 1층,37.4904954867064,126.924981674031
고대구로병원점,서울특별시 구로구 구로동로 148 고대구로병원 본관 1층,37.4911503253664,126.884511034177
구로 G타워점,서울특별시 구로구 디지털로26길 38 1층,37.4798477003537,126.895318461208
광명 철산DT점,광명시 오리로 883,37.475887842028,126.864616923109
김포 구래 DT점,경기 김포시 양촌읍 김포한강4로 374,37.6503542564658,126.641615726062
롯데백화점 중동점,경기 부천시 원미구 길주로 300 롯데백화점 중동점 1층,37.5025627553952,126.775275476115
AK플라자 광명점,경기도 광명시 양지로 17  AK플라자 광명점 D동 1층,37.4186807426269,126.882889721167
롯데백화점 분당점,경기도 성남시 분당구 황새울로 200번길 45 롯데백화점 분당점 1층,37.3784486471952,127.114317155365
롯데백화점 평촌점,경기도 안양시 동안구 시민대로 180 지하 1층,37.390002179095,126.950178643649
산본역점,"경기 군포시 산본로323번길 16-26, 1층",37.3599804836912,126.931782485734
연세와병원점,인천 남동구 정각로 2 1층,37.4549458781481,126.702170864258
신세계 사우스시티점,경기도 용인시 수지구 포은대로 536 (주)신세계사우스시티 7층,37.3249887152059,127.108118540886
롯데몰 수지점,경기 용인시 수지구 성복2로 38 롯데몰 수지점 B1층,37.3127975899328,127.081666875865
북수원IC DT점,경기도 수원시 파장동 555-3,37.3111157311798,126.990094723149
신세계아울렛 시흥점,경기도 시흥시 서해안로 699신세계 시흥 프리미엄 아울렛 2503호,37.3796755964231,126.736985310798
수원 월드컵경기장점,경기도 수원시 팔달구 창룡대로 210번길 41 1층,37.2901068993408,127.035026697855
광교 경기도청점,경기도 수원시 영통구 도청로 52 경기신용보증재단 사옥 1층,37.2885005037004,127.052413525922
광교엘포트몰점,경기도 수원시 영통구 광교중앙로 145 광교엘포트아이파크 1층,37.2870876096225,127.057781422092
갤러리아 광교점,경기 수원시 영통구 광교중앙로 124 갤러리아 광교점 9층,37.2852510012341,127.057454909262
스타필드 수원점,수원시 장안구 수성로 175 스타필드 수원 7층 잇토피아,37.2874453391147,126.991574559571
수원컨트리클럽점,경기도 용인시 기흥구 중부대로 495 수원컨트리클럽 골프연습장 지하 1층,37.2813343609608,127.120332640766
AK플라자 수원점,경기 수원시 팔달구 덕영대로 924AK플라자 수원점 지상 3층,37.2655920786365,127.000179930083
송도 센트럴파크점,인천시 연수구 송도동 23-5 1층 폴 바셋,37.3926160798702,126.643921703043
송도 트리플스트리트점,"인천시 연수구 송도과학로 16번길 33-3 C동 112호, 211호",37.37979192876,126.660954609983
인천 송도 DT점,인천광역시 연수구 테크노파크로 107,37.3859791876532,126.644853722221
용인시청 DT점,경기도 용인시 처인구 삼가동 198-15,37.2404967880286,127.172016114995
롯데아울렛 기흥점,경기 용인시 기흥구 신고매로 124,37.2255419641124,127.121283960956
롯데백화점 동탄점,경기 화성시 동탄역로 160 롯데백화점 동탄점 지하 1층,37.200666359626,127.098203113972
롯데아울렛 이천점,경기도 이천시 호법면 프리미엄아울렛로 177-74 본관 1층,37.2422268786208,127.400026089807
인천공항 T1 입국점,공항로 272 제1여객터미널 1층,37.458350712273,126.427699293474
인천공항 T2 입국점,인천 중구 제2터미널대로 446 제2여객터미널 1층 서편,37.4692488244219,126.43320918812
영종도 파라다이스시티점,"인천 중구 영종해안남로321번길 186 영종도 파라다이스시티 플라자 ,K101-1",37.437412274746,126.455554729128
오산대 DT점,경기도 오산시 경기대로 464,37.1649080006356,127.066138492493
인스파이어점,인천광역시 인천광역시 중구 운서동2955-74,37.465436913645,126.387985373465
