지점명,주소,위도,경도
남양주 오남점,경기 남양주시 오남읍 진건오남로 529-1  (오남리),37.6808826013204,127.209255680263
양산물금점,경남 양산시 물금읍 백호2길 14  (가촌리),35.3199372187859,128.99842261142
경주 황성점,경북 경주시 황성로16번길 7  (황성동),35.864482406957,129.214375735213
인천 도화점,"인천 미추홀구 숙골로87번길 2  (도화동, 센타프라자)",37.4701338984516,126.662989989833
시흥 목감역점,경기 시흥시 목감둘레로 253-35  (조남동),37.3809802206293,126.861384823261
용인 외대점,경기 용인시 처인구 모현읍 외대로 42  (왕산리),37.3356753878202,127.254019309591
세종해밀점,"세종특별자치시 해밀3로 32  (해밀동, 해밀마을1단지) 105동 117,118호",36.5293454219315,127.267175979123
대구 동천점,대구 북구 동천로 128  (동천동),35.9430262744651,128.561094972199
모란점,경기 성남시 중원구 둔촌대로 84  (성남동) 란프라임타워 107호,37.4297248673021,127.128476586004
광명 하안점,"경기도 광명시 범안로 1041  (하안동, 삼성빌딩) 삼성빌딩 1층",37.4622291735411,126.878473696013
세종대평점,"세종특별자치시 갈매로 58  (대평동, 황산프라자)  (대평동, 황산프라자) 120호,121호",36.4710424688358,127.275422745905
향동점,경기 고양시 덕양구 향동동 524  센터프라자 113호,37.6006541198611,126.89424678099
오시리아점,부산 기장군 기장읍 시랑리 717,35.1919979628815,129.217782839818
당진 시곡점,충남 당진시 서해로 6260  (시곡동) B동,36.9024477107286,126.681624041202
포항 이동점,경북 포항시 남구 대이로111번길 5  (대잠동) 111호,36.0249623693826,129.340351391592
통영점,"경상남도 통영시 산양읍 삼칭이해안길 820  (영운리, 통영한산마리나호텔) 디저트39 통영점",34.8047723048005,128.434187531207
밀양삼문점,경남 밀양시 미리벌중앙로1길 19  (삼문동)  (삼문동) 1층,35.4811764540501,128.748196383852
통영 죽림점,경상남도 통영시 광도면 죽림4로 19-10  (죽림리),34.885540849742,128.417280991836
고덕역점,"서울 강동구 고덕로 266  (명일동, 고덕역 대명벨리온)",37.5546936843646,127.15511458665
고성점,경남 고성군 회화면 회진로 515  (봉동리),35.0589723138702,128.408558764024
군산 수송점,전북 군산시 수송로 204  (수송동),35.9637364242895,126.717835017394
나주 빛가람점,전남 나주시 배멧3길 5-4  (빛가람동),35.0188876529535,126.785712535593
전주혁신도시점,"전북 전주시 덕진구 기지로 77  (장동, 전북혁신도시 더 M city 센텀) (장동, 전북혁신도시 더 M city 센텀) 디방디엠시티 c-116호",35.8388252540802,127.059182062214
해운대점,부산 해운대구 해운대해변로357번길 17  (중동) 110호,35.1646838916426,129.16771566297
공주 신관점,충남 공주시 신관로 69-31  (신관동) 1층,36.471116066871,127.137266764611
청주동남지구점,충북 청주시 상당구 중고개로141번길 13-21  (용암동) 스마트타운 110호,36.6163794626184,127.516855457755
부평 청천점,"인천광역시 부평구 세월천로 47  (청천동, 대일빌딩)",37.5127718423759,126.704205893465
계양 작전역점,"인천 계양구 주부토로 417  (작전동, BS 빌딩)  1층",37.5314679564691,126.727659428434
일산 식사점,경기 고양시 일산동구 식사동 1587,37.6740605942899,126.808020466667
의정부역점,"경기 의정부시 태평로 76  (의정부동, 미즘) 미즘빌딩 1층",37.7393074259179,127.052033935974
의왕 퍼스트힐점,경기 의왕시 신장승길 29  (삼동),37.3206080563511,126.957080348937
수진역점,경기 성남시 수정구 수진동 2206,37.4377223728289,127.140360799958
인천대점,"인천 연수구 하모니로138번길 11  (송도동, 송도캐슬센트럴파크)",37.3849625996123,126.642800057546
인천 서창점,인천 남동구 서창남로 77  (서창동)  메인프라자 110호,37.4258931724057,126.748247694073
전대점,광주 북구 호동로 12-8  (중흥동),35.174447801417,126.914224112415
구파발역점,"서울 은평구 진관3로 21  (진관동, 은평뉴타운엘크루) 엘크루오피스텔 103호",37.6396025010646,126.919014455213
전남 영광점,전남 영광군 영광읍 천년로12길 23  (신하리),35.2745680980678,126.500494662321
목포 하당점,전남 목포시 백년대로297번길 3-1  (상동),34.8041398809879,126.41971280902
안산 한대역점,"경기 안산시 상록구 광덕1로 355  (이동, 데코스포텔) (이동, 데코스포텔) 1층",37.3072746616668,126.849071375827
안산 초지점,"경기 안산시 단원구 광덕1로 62  (초지동, 아트프라자) (초지동, 아트프라자) 109호",37.3081561235645,126.816298850189
남해점,경남 남해군 남해읍 강진만로 1  (입현리) 1층,34.8298196475428,127.910175591747
울산 언양점,울산 울주군 언양읍 헌양길 51  (남부리),35.5649593024622,129.124438136738
하남 풍산현대지산점,경기 하남시 미사대로 540  (덕풍동) (덕풍동) 현대지산 A-130,37.5578052341426,127.20583464536
한양대점,"서울 성동구 마조로5길 6  (행당동, 새마을금고)",37.5601694090823,127.040422301856
충남 내포혁신도시점,"충남 홍성군 홍북읍 홍학로 95  (신경리, 아이프라자 2) (신경리, 아이프라자 2) 2차 103호",36.6459940234991,126.677179377929
수원 정자점,"경기 수원시 장안구 정자천로173번길 11-6  (정자동, 세경프라자) 102호",37.295888406963,126.994288313093
