매장명,주소,지역,위도,경도
포천송우리,경기 포천시 소흘읍 솔모루로 75 (송우리),경기,37.8284662703735,127.146708740716
안양호계,"경기 안양시 동안구 호계동 943-16, 1층 104호",경기,37.3757776542233,126.955929163117
분당효자촌,"경기 성남시 분당구 불정로 381 (서현동, 효자촌동진프라자), 1006,1007호",경기,37.364443430073,127.123757993562
부천역곡,"경기 부천시 경인로 482 (괴안동, 베르포레아파트), 101-102호",경기,37.4829707150588,126.809283256697
고덕로데오,경기 평택시 고덕동 1886-3,경기,37.056555778032,127.048216830308
안산선부,경기 안산시 단원구 선부동 1081,경기,37.3366907807355,126.813283020274
파주금릉,"경기 파주시 금빛로 27 (금촌동, 광장프라자)",경기,37.7522585196127,126.766276640426
시흥장곡,경기 시흥시 장곡동 818-1,경기,37.3774936362284,126.784681812789
성복역파크나인(휴점),"경기 용인시 수지구 성복1로 13 (성복동, 성복역 롯데캐슬 파크나인)",경기,37.3108741881584,127.073791408878
성남금광,경기 성남시 중원구 광명로323번길 6 (금광동),경기,37.4457110373885,127.161788770545
하남미사강변,"경기 하남시 미사강변대로226번길 26 (망월동, 미사원프라자), 1층 113호, 114호",경기,37.56980302824,127.185180609809
평택고덕,"경기 평택시 고덕여염12길 184 (고덕동), 1층",경기,37.0418356451775,127.052042377153
고양하나로,경기 고양시 일산서구 대화로 362 고양하나로마트내 (대화동),경기,37.6835975708618,126.746377108174
광명철산,"경기 광명시 철산로 24 (철산동, 다인빌딩)",경기,37.4759973926928,126.869002517676
하남중앙미사역,"경기 하남시 미사강변중앙로204번길 22 (망월동, 미사 마이움 센트럴 아케이드)",경기,37.5648040424783,127.190892572121
여주오학,"경기 여주시 도예로 97 (오학동), 1층",경기,37.3111073445111,127.644590909231
양평만남의광장,경기 양평군 양서면 경강로 954 (대심리),경기,37.5083505133824,127.393561204977
수원매교,경기 수원시 권선구 효원로94번길 1 (세류동),경기,37.2661622586584,127.012215157575
광주태전,"경기 광주시 태전동로 23 (태전동, 메디프라자) 1층 102호",경기,37.3866584472733,127.23397387169
평택비전,"경기 평택시 비전5로 20-18 (비전동, 가로수빌딩) 101호",경기,36.9988772877861,127.113577234561
오산이마트,"경기 오산시 경기대로 181 (원동, 오산이마트), 3층 일부",경기,37.1406610739341,127.072703947859
원흥역,"경기 고양시 덕양구 권율대로 685 (원흥동, SIB 타워), 1층 103~4호",경기,37.6329969196136,126.8653632448
김포운양역,경기 김포시 운양동 1299-1,경기,37.6541414762918,126.682652897251
평촌학원가,"경기 안양시 동안구 평촌대로 136 (평촌동, 신세기타운)",경기,37.3844421440758,126.960159678472
걸포북변역,"경기 김포시 걸포로 6 (걸포동, 케이탑리츠 김포빌딩)",경기,37.6322526029999,126.707257052533
흥덕이마트,"경기 용인시 기흥구 흥덕중앙로 60 (영덕동, 이마트)",경기,37.2757524827179,127.07333158206
일산식사,"경기 고양시 일산동구 위시티로 32 (식사동, 위시티스퀘어)",경기,37.6752997067777,126.808850886701
위례호반,"경기 성남시 수정구 위례동로 135 (창곡동, 신성위캐슬타워) 1층 107호",경기,37.472278568853,127.150085322633
화성향남,"경기 화성시 향남읍 행정중앙2로 63-3 (행정리), 1층 107호",경기,37.1298723094641,126.921922178897
인덕원IT,"경기 의왕시 이미로 40 (포일동, 인덕원IT밸리) D동 D110호",경기,37.4010148291019,126.991355744449
양평중앙,경기 양평군 양평읍 역전길 8 (양근리),경기,37.4915829943385,127.489441643333
고양휴게소(하),"경기 고양시 덕양구 수원문산고속도로 52 (성사동, 고양휴게소(하행))",경기,37.6307040429444,126.852222430066
안성의료원,경기 안성시 남파로 101 (당왕동) 102호,경기,37.0165146693522,127.261501240734
죽전보정,"경기 용인시 기흥구 보정로 117 (보정동, 리베로3), 1층 124,125호",경기,37.3153893789189,127.113693856481
동탄나루마을,"경기 화성시 동탄솔빛로 64 (반송동, 가희프라자2)",경기,37.1941712695776,127.074664222002
고양더자인병원,"경기 고양시 덕양구 중앙로 555 (행신동, 자인상가타운)",경기,37.6231849277355,126.835324889817
남한강휴게소,경기 양평군 강상면 중부내륙고속도로 298 (병산리),경기,37.4833196183715,127.467742642194
파주운정이마트,"경기 파주시 한울로 123 (동패동, 이마트운정점)",경기,37.7103886992595,126.745102298599
운정초롱꽃마을,경기 파주시 양지로 131 (동패동),경기,37.7097630350477,126.723383992292
김포구래,"경기 김포시 김포한강9로75번길 180 (구래동, 두원타워)",경기,37.6449161667142,126.624480283456
동탄역,"경기 화성시 동탄대로 489 (오산동, 동탄역우성타워)",경기,37.1974062084016,127.098270640431
원광종합병원,경기 화성시 화산북로 21 (송산동),경기,37.2099945496355,127.008105779958
자유로휴게소,"경기 파주시 자유로 2210 (문발동, 자유로휴게소)",경기,37.6995478687153,126.68427086901
양주휴게소,"경기 양주시 장흥면 수도권제1순환고속도로 58 (삼하리, 양주간이휴게시설)",경기,37.679197833086,126.915781226128
용인동천,"경기 용인시 수지구 손곡로 107 (동천동, 대영프라자)",경기,37.3358870945945,127.090695954952
남양주다산,경기 남양주시 다산동 6054-1,경기,37.6251977028081,127.154365732042
수원인계,"경기 수원시 팔달구 권광로 184 (인계동, 캐슬타워)",경기,37.2638843015003,127.03310232868
양주덕정,경기 양주시 회정로 107 (덕정동),경기,37.8376775010048,127.06508814102
안성공도,경기 안성시 공도읍 공도로 83 (만정리),경기,36.9998375283271,127.170283079111
수원능실마을,경기 수원시 권선구 호매실로90번길 98 (호매실동),경기,37.2601268018843,126.963908363508
수원호매실,"경기 수원시 권선구 금곡로 106 (금곡동, 우성메디피아)",경기,37.2739733214264,126.941996899715
시흥은계,"경기 시흥시 은계로142번길 3-15 (은행동, 블랙스프라우트(Black Sprout))",경기,37.4359951949859,126.804782233323
광명하안,"경기 광명시 범안로 1055 (하안동, 세일빌딩)",경기,37.4629735368685,126.879743782045
삼송하나로,"경기 고양시 덕양구 동송로 20 (동산동, 삼송농산물종합유통센터)",경기,37.6486347309103,126.89888009345
