매장코드,매장명,주소,오픈날짜,위도,경도
2184,통영죽림,경상남도 통영시 광도면 죽림리 1572-71,2023-09-15,34.8822301009692,128.422765298815
2335,통영북신DT,경상남도 통영시 북신동 663-8,2024-09-29,34.854843225505,128.428321390105
1652,거제대로DT,경상남도 거제시 수월동 1043-203,2020-06-18,34.8946905606336,128.64154185194
905,거제고현,경상남도 거제시 고현동 977-4,2015-03-26,34.8907754417863,128.622210980197
628,소노캄거제,경상남도 거제시 일운면 소동리 115 대명리조트거제휴양콘도미니엄 1층,2013-06-14,34.8435453896832,128.703367491047
2511,거제사등,경상남도 거제시 사등면 청곡리 700-7,2026-01-15,34.8955252400128,128.500061603442
2380,거제상동DT,"경상남도 거제시 상동동 166-3, 184-1",2025-02-13,34.8684369161531,128.637388076772
1742,거제옥포DT,"경상남도 거제시 옥포동 550-14,15",2020-12-10,34.89477,128.69296
2140,거제장평,경상남도 거제시 장평동 337-1,2023-06-02,34.8926974060848,128.608773029513
1519,남양산IC DT,경상남도 양산시 동면 석산리 966,2019-07-31,35.3197884725252,129.030376156879
1471,양산증산역,경상남도 양산시 물금읍 가촌리 1292,2019-02-25,35.3098566946532,129.00940064542
1329,양산가촌,경상남도 양산시 물금읍 가촌리 1270-10,2018-01-25,35.3171469065169,129.001498744995
1227,양산덕계DT,경상남도 양산시 덕계동 323-2외1필지,2017-05-25,35.3740103,129.1535958
906,양산터미널,경상남도 양산시 중부동 710-1 양산시외버스터미널,2015-03-27,35.3356457909926,129.026535340358
710,양산범어,경상남도 양산시 물금읍 범어리 2711-4,2013-12-23,35.3287435162243,129.014307074921
387,양산이마트,경상남도 양산시 중부동 705 양산이마트 1층,2011-04-29,35.3368483289025,129.026371162127
1983,양산물금DT,경상남도 양산시 물금읍 물금리 872-7,2022-06-02,35.3075354379422,128.986400471101
2403,양산통도사,경상남도 양산시 하북면 삼수리 114-2,2025-04-30,35.4721988690006,129.078928803719
2347,양산부산대학교병원,경상남도 양산시 물금읍 범어리 2762-1 양산부산대학교병원,2024-11-21,35.3252044155947,129.006794810482
2324,양산신기DT,경상남도 양산시 신기동 646-14 무봉리순대,2024-09-27,35.3550715715822,129.038330783961
1216,경산중방DT,경상북도 경산시 중방동 847-6,2017-05-18,35.8274054981785,128.736778052841
822,영남대아트센터,경상북도 경산시 대동 214-1 천마아트센터 대공연장,2014-08-25,35.8331149969542,128.753989021947
821,영남대중앙도서관,경상북도 경산시 조영동 321 영남대학교,2014-08-25,35.8339545822148,128.758882802182
681,영남대,경상북도 경산시 대동 168-3 1~3층,2013-10-30,35.8369784612148,128.753051755615
46,스타필드마켓경산,경상북도 경산시 중산동 623 경산이마트,2006-07-28,35.8346240436804,128.720180945967
1866,대구대학교,경상북도 경산시 진량읍 내리리 15 대구대학교경산캠퍼스,2021-09-09,35.9026397810866,128.842915085683
1670,경산임당역DT,경상북도 경산시 계양동 266,2020-07-15,35.8337503248573,128.745658380783
1965,경산중산,경상북도 경산시 중산동 632,2022-04-21,35.8301412304841,128.719907557155
2525,경산신대부적,경상북도 경산시 압량읍 부적리 200-3,2026-02-27,35.8450505990854,128.763975255836
1937,경산하양DT,경상북도 경산시 진량읍 부기리 532-1,2022-03-17,35.9048729975907,128.823624763958
2354,경산사동DT,"경상북도 경산시 사동 561,561-1,561-10",2024-11-28,35.813956,128.7594228
2224,경산무학,경상북도 경산시 하양읍 서사리 340,2024-01-03,35.9172823645922,128.813156044847
1351,경주보문,경상북도 경주시 천군동 205-65,2018-03-23,35.8364709092754,129.285046389849
1068,경주터미널DT,"경상북도 경주시 사정동 488-7, 8",2016-05-23,35.8381674606454,129.203300783162
794,경주대릉원,경상북도 경주시 황남동 140-2,2014-06-23,35.8340010994511,129.215016094461
721,경주보문호수DT,경상북도 경주시 북군동 57-40 1~3층,2014-01-21,35.8532449888019,129.268675725712
550,경주보문로DT,경상북도 경주시 천군동 1584-33번지 외 1번지(신평동 719-220),2012-09-10,35.8388179120465,129.285780547542
2484,경주용황,"경상북도 경주시 용강동 1710, 1층",2025-11-21,35.8845993701582,129.231733849655
1901,경주용강DT,경상북도 경주시 용강동 900-8,2021-12-16,35.8677384570533,129.224454581085
2260,경주충효DT,"경상북도 경주시 충효동 541, 410번지",2024-05-02,35.8445054008222,129.174784756539
1459,구미상모DT,"경상북도 구미시 상모동 478-5 상모주유소, 478-6, 478-7",2019-01-30,36.0822029165459,128.356489184825
1412,구미도량DT,"경상북도 구미시 도량동 315, 315-5",2018-08-31,36.1383383712629,128.316802612419
1044,구미옥계,경상북도 구미시 옥계동 832-3,2016-03-24,36.1382926106445,128.419549320887
975,구미시청DT,경상북도 구미시 송정동 33-11,2015-08-25,36.1176469353489,128.341592200845
708,구미금오산DT,경상북도 구미시 남통동 414 - 4번지,2013-12-20,36.1223375269604,128.323931268606
98,구미인동,경상북도 구미시 황상동 305-49 노블레스 타워 1층,2008-08-08,36.1081001178505,128.418380985196
467,구미공단,경상북도 구미시 공단동 260-10번지 HALLA SIGMA VALLEY 106,2012-01-03,36.101404419288,128.38595286169
2187,구미인의DT,경상북도 구미시 인의동 1005-6,2023-10-18,36.0956007412336,128.431023126487
2448,삼성전자 구미2캠퍼스,경상북도 구미시 임수동 94-1 삼성전자 2공장 창의동 1층,2025-08-29,36.1081095195904,128.41398032522
1872,구미광평DT,경상북도 구미시 광평동 792-137,2021-10-14,36.1036217136007,128.363466001585
1850,구미문성DT,경상북도 구미시 고아읍 문성리 1121,2021-09-09,36.160924750022,128.342935068797
1704,구미확장단지,경상북도 구미시 산동읍 신당리 1404,2020-09-18,36.1558113080654,128.429947812066
2037,상주무양DT,경상북도 상주시 무양동 1-113,2022-10-06,36.4261853415948,128.157202124448
2280,영주가흥,"경상북도 영주시 가흥동 396-2, 397-8, 397-18, 380-10",2024-07-04,36.8226719752581,128.610754550853
2085,경북도청대로,경상북도 예천군 호명면 산합리 1493,2023-02-02,36.5747342643423,128.485495539218
1316,포항쌍용DT,"경상북도 포항시 남구 상도동 601, 601-3, 601-12",2017-12-22,36.0081922862087,129.350997453144
988,포항오천,경상북도 포항시 남구 오천읍 문덕리 176-5,2015-10-27,35.9642569796367,129.402708353534
876,포항대이,경상북도 포항시 남구 대잠동 458-5,2014-12-23,36.0253430314599,129.33950727026
620,포항이마트,경상북도 포항시 남구 인덕동 161-176번지 이마트 포항점 1층,2013-05-23,35.9913094308186,129.398349324729
556,포항시청,경상북도 포항시 남구 대잠동 1005-1번지,2012-09-25,36.0181565763385,129.341994850332
2150,포항송도,경상북도 포항시 남구 송도동 254-600,2023-07-27,36.03566092873,129.379437806394
2105,포항IC DT,"경상북도 포항시 남구 이동 535, 535-3",2023-03-16,36.0390779915724,129.327940299778
1776,포항세명기독병원,경상북도 포항시 남구 대도동 94-5 포항세명기독병원,2021-06-17,36.0175736587278,129.361954458326
1810,포항포스코DT,경상북도 포항시 남구 동촌동 701-83,2021-05-28,35.9965559664447,129.387597095197
1130,김천구미역,"경상북도 김천시 율곡동 792,",2016-11-11,36.1165300881601,128.18167241885
1039,김천시청DT,"경상북도 김천시 신음동 1000-3,5,11,12",2016-02-26,,
2188,김천부곡DT,"경상북도 김천시 부곡동 415-1, 415-19",2023-09-21,36.1281026731662,128.101346355312
1614,안동이마트,경상북도 안동시 옥동 800-3 이마트,2020-02-07,36.55803853589,128.698794748667
1583,안동병원,경상북도 안동시 수상동 574-2 안동병원 1층,2019-12-19,36.5468496986973,128.700954090376
924,안동시청,경상북도 안동시 삼산동 51-4,2015-04-30,36.5663625942303,128.731135197331
