브랜드명,지역,매장명,주소,위도,경도
이디야,경남,마산메트로시티점,경상남도 창원시 마산회원구 삼호로 80,35.2236728605877,128.584565894733
이디야,경남,창원점,경상남도 창원시 의창구 용호동 73-2 라이크빌 101-1호,35.2537,128.6401
이디야,경남,진주개양오거리점,경상남도 진주시 가좌길74번길 1 (가좌동 ),35.1604141389607,128.106186639526
이디야,경남,김해연지구산점,경상남도 김해시 해반천로 14 (구산동) 1층,35.2501254770491,128.870028403927
이디야,경남,밀양역DI점,경상남도 밀양시 가곡4길 15 (가곡동) 101호,35.4727009096635,128.769272317357
이디야,경남,밀양삼랑진점,경상남도 밀양시 삼랑진읍 천태로 12 1층,35.3968473656995,128.83801505179
이디야,경남,양산평산동점,"경상남도 양산시 평산북1길 11 1,2층(평산동)",35.3863220842697,129.155251419674
이디야,경남,밀양삼문동점,경상남도 밀양시 미리벌로2길 20,35.482526550406,128.747627033808
이디야,경남,김해외동사거리점,경상남도 김해시 금관대로 1165 1층 (외동),35.2315986547963,128.850918798686
이디야,경남,밀양시청점,경상남도 밀양시 시청로1길 4,35.5039271783447,128.744679772898
이디야,경남,김해삼계해반천점,경상남도 김해시 가야로22번길 3-4 (삼계동) 1층,35.2693332702209,128.863011073823
이디야,경남,마산합성동점,경상남도 창원시 마산회원구 합성1동 100-3,35.2382635530879,128.582058445193
이디야,경남,김해아이스퀘어점,경상남도 김해시 부원동 939 아이스퀘어몰 A-2블록 C313호,35.22099,128.88542
이디야,경남,통영도남로점,경상남도 통영시 도남로 316 (도남동) 1층 2층,34.8244913124209,128.43522545527
이디야,경남,김해서부문화센터점,경상남도 김해시 율하2로 218,35.1732634843448,128.820556907331
이디야,경남,김해시청점,경상남도 김해시 호계로422번길 16 (부원동),35.228205023341,128.886916358778
이디야,경남,김해흥동점,경상남도 김해시 흥동로 45 B동 (흥동),35.2224876485618,128.853766203869
이디야,경남,김해삼계동점,경상남도 김해시 삼계동 1478-8,35.2621842903939,128.870851245653
이디야,경남,김해연지공원점,경상남도 김해시 금관대로1368번길 4 (내동) 이디야커피,35.2444736950083,128.867128471254
이디야,경남,김해홈플러스점,경상남도 김해시 김해대로 2078 1층,35.2419040446888,128.870262278148
이디야,경남,진주호탄동점,경상남도 진주시 강변길 5,35.1641767886466,128.110630791437
이디야,경남,경남대점,경상남도 창원시 마산합포구 해운동 5-119,35.179633141981,128.56064210189
이디야,경남,진해중앙점,경상남도 창원시 진해구 충장로 94 1층,35.1522193411653,128.662373396199
이디야,경남,창원봉곡동점,경상남도 창원시 의창구 원이대로 259,35.2437865732085,128.649089292825
이디야,경남,진주상대동점,경상남도 진주시 동진로216번길 5 1층,35.1794858917843,128.114998558284
이디야,경남,진주장대동점,경상남도 진주시 남강로 690 (장대동),35.1912772931092,128.087045967052
이디야,경남,진주보건대점,경상남도 진주시 창렬로 111 (상봉동),35.1980286372414,128.069406542101
이디야,경남,진주평거엠코점,경상남도 진주시 새들말로 28 (평거동),35.1663833689763,128.057577513918
이디야,경남,진주대안동점,경상남도 진주시 촉석로186번길 6-1 (중안동) 1층,35.1947329589012,128.082358201797
이디야,경남,통영무전동점,경상남도 통영시 무전6길 25 1층(무전동),34.8588760742152,128.426313904676
이디야,경남,통영죽림점,경상남도 통영시 광도면 죽림리 1572,34.8851202662232,128.42212997128
이디야,경남,김해율하중앙점,경상남도 김해시 율하3로 38 (율하동) 1층 111호,35.1712566537763,128.814392182694
이디야,경남,김해경원고교점,경상남도 김해시 우암로 21-1 1층(외동),35.2327328352773,128.860201965161
이디야,경남,밀양내이동점,"경상남도 밀양시 중앙로 381 (내이동) 1,2층",35.4956894053752,128.751040798147
이디야,경남,경남합천점,경상남도 합천군 옥산로 34,35.5685044913541,128.158738738374
