징지역,지점ID,매점명,주소,위도,경도
서울,706,후암시장점,"서울 용산구 후암로 48, 1층 제6호",37.5502442994284,126.977551927445
서울,431,서울숲코오롱1차점,"서울특별시 성동구 성수일로4길 25, 1층 111호(성수동2가, 서울숲코오롱디지털타워)",37.5425050119214,127.051865849456
서울,922,건대레이크홀점,"능동로 120, 건국대학교 레이크홀 1층 일부",37.539182674872,127.074711902268
서울,629,남산트윈시티타워점,"서울특별시 용산구 한강대로 366, 지하1층 108호(동자동, 트윈시티 남산)",37.5510861198751,126.972911385084
서울,195,성수AK밸리점,"서울특별시 성동구 연무장길 76, 1층 103호(성수동2가 성수 AK 밸리)",37.5415059744829,127.057526618044
서울,1024,성수서울숲ITCT점,"성수일로 10, 서울숲ITCT지식산업센터 1층 102호 일부",37.541278064379,127.048828114958
서울,950,건대스타시티점,"능동로 110, 스타시티영존 1층 F107호",37.540657941434,127.07141185507
서울,960,서울숲한라시그마밸리1차점,"성수이로 51, 서울숲한라시그마밸리1차 1층 104-A호",37.540276455651,127.055100973263
서울,269,고덕자이점,"서울특별시 강동구 상일로 55, 상가동 103-1호(상일동, 고덕자이)",37.5533182082692,127.168788219773
서울,310,신촌점,"서울특별시 서대문구 연세로5길 38, 1층(창천동)",37.5561381563443,126.935271487839
서울,789,상일동리엔파크점,"상일로 74, 고덕리엔파크3단지 상가2동 1층 101호",37.5513683747695,127.174785524346
서울,847,연남점,"동교로27길 50, 1층 101호",37.5600522314998,126.921406005107
서울,841,신촌더피플점,"신촌로12길 4, 1층 101호",37.5562530795107,126.932458208448
서울,445,홍대경의선숲길점,"서울특별시 마포구 신촌로4길 22-22, 1층(동교동)",37.5574883214927,126.927259013569
서울,448,마포구청점,"서울특별시 마포구 월드컵로34길 13, 1동 104-2호(성산동, 상암 월드시티)",37.5654463222229,126.903548142922
서울,973,천호시장점,"구천면로 245, 1층 일부",37.5422808630307,127.130896791016
서울,985,구의역점,"아차산로 405, 벨라로사오피스텔 1층",37.5378485471498,127.087586102902
서울,845,홍대본점,"와우산로 149, 1층",37.5546048094002,126.929704861685
서울,136,자양시장점,"서울특별시 광진구 자양로15길 6, 1층(자양동)",37.5360573915618,127.083179085124
서울,25,천호점,서울특별시 강동구 올림픽로72길 25(천호동),37.5394712147646,127.125221297245
서울,748,서강대점,"서울 마포구 백범로 35, 서강대학교 동문회관 1층 1호",37.5514649610226,126.942979960696
서울,834,서강대후문점,"대흥로 118, 1층",37.5499377848817,126.943954116886
서울,221,공덕동점,"서울특별시 마포구 마포대로 143, 1층 109호(공덕동, 마포공덕파크팰리스 II)",37.5474542024771,126.953094314075
서울,321,소담길점,"서울특별시 마포구 마포대로8길 9, 1층 106호(공덕동, 영명빌딩)",37.5466236344247,126.953940479241
서울,624,공덕효성점,"서울특별시 마포구 마포대로 115-12, 공덕삼성아파트 상가동 1층 103, 104호(공덕동)",37.5456898892221,126.951150675917
서울,981,강동길동점,"양재대로 1499, 길동역세권청년주택 A동 1층 103호, 104호",37.5395668653995,127.140318738444
서울,336,남영역점,"서울특별시 용산구 한강대로 259, 1층 108호(갈월동, 고려에이트리움)",37.5415842490492,126.972412765985
서울,884,마포서교점,"월드컵북로1길 56, 1층",37.5538544560017,126.918618890048
서울,709,홍대정문점,"서울 마포구 와우산로18길 38, 1층",37.5519235095685,126.923999638494
서울,118,강동역점,"서울특별시 강동구 천호대로 1089, 지하1층 B31호(천호동, 강동 헤르셔)",37.5366048791746,127.133115595362
서울,823,강동성심병원점,"진황도로 85, 강동큐브2차 1층 107호",37.5366245950933,127.136132976612
서울,650,용산더프라임점,"서울특별시 용산구 원효로90길 12, 1층(원효로1가)",37.5397266704437,126.969532661819
서울,904,홍대잔다리로점,"잔다리로6길 22, 1층 전부",37.5521388152841,126.920394669087
서울,140,망원역점,"서울특별시 마포구 동교로9길 37, 1층(망원동)",37.5554478129638,126.909621349144
서울,692,한남순천향병원점,"서울 용산구 대사관로 66, 1층",37.5331739894488,127.005332726319
서울,585,공덕오거리점,"서울특별시 마포구 새창로 13, 1층(도화동)",37.5423086317799,126.951619413908
서울,831,효창공원앞역점,"백범로 313, 용산롯데캐슬센터포레아파트 지하3층 115호",37.5393023092398,126.962948470932
서울,370,이태원동점,"서울특별시 용산구 보광로59길 9, 1층(이태원동)",37.5338671584549,126.993451413927
서울,418,성내점,"서울특별시 강동구 풍성로 95, 1층 101호(성내동)",37.5327202397365,127.123042040985
서울,542,합정역해링턴타워점,"서울특별시 마포구 양화로 72, 1층 123호(서교동, 서교동 효성 해링턴 타워)",37.5508138163956,126.916493990351
서울,714,마포용강점,"서울 마포구 토정로31길 49, 1층",37.5429587952279,126.943696823294
서울,257,마포트라팰리스점,"서울특별시 마포구 마포대로 53, 1층 120호(도화동, 마포트라팰리스)",37.5414321628548,126.947054064308
서울,324,메세나폴리스점,"서울특별시 마포구 양화로 45, 몰동 지1층 B181호(서교동, 메세나폴리스)",37.5515008030203,126.91395024016
서울,715,상수역점,"서울 마포구 와우산로 39, 1층",37.5480643849384,126.922797700736
서울,471,용산구청점,"서울특별시 용산구 녹사평대로32길 51, 지1층(이태원동)",37.5325674731664,126.990868343004
서울,593,강동구청점,"서울특별시 강동구 성내로3가길 27, 1층 101호(성내동, 성내 퍼스트초이스)",37.530406306478,127.124316444089
서울,948,용산용문시장점,효창원로42길 16. 1층 일부,37.5365669622615,126.959913130701
서울,647,압구정역점,"서울특별시 강남구 압구정로30길 12, 지상1층(신사동)",37.5267021492241,127.029081289706
서울,295,둔촌동점,"서울특별시 강동구 양재대로102가길, 7 1층(둔촌동)",37.5318807624007,127.140724870438
서울,746,청담점,"서울 강남구 압구정로79길 38, 데오빌로 1층",37.525270096053,127.05027069246
서울,768,마포도화점,"서울 마포구 마포대로4길 18, 1층",37.5387071867261,126.946671287775
서울,927,용산국방부점,"한강대로62다길 35, 1층 102호",37.532573888489,126.974852528853
서울,742,용산원효점,"서울 용산구 원효로 139-1, 1층",37.5342944361155,126.958543639312
서울,1025,압구정유림아트홀점,"압구정로28길 49, 유림아트홀 1층 103호",37.5232586676671,127.027711483385
서울,194,신용산점,"서울특별시 용산구 새창로 217, 1층 제121, 122, 123, 127, 131호(한강로2가, 용산토투밸리)",37.5302166820111,126.967776259525
서울,1020,둔촌파크포레온5점,"양재대로 1360, 포레온스테이션5 지하1층 B111호 일부",37.5274758605763,127.137046059861
서울,141,신사압구정점,"도산대로25길 36, 1층 101호",37.5219399746502,127.02647003937
서울,1000,논현언주로점,"언주로150길 24, 1층",37.5213133462612,127.036240598407
서울,390,잠실나루역점,"서울특별시 송파구 올림픽로37길 130 A상가동 1층 162호(신천동, 파크리오)",37.5208819816451,127.104421421949
서울,947,용산아스테리움점,"한강대로30길25, 아스테리움용산 지하1층 20호",37.527358545339,126.968861735609
서울,51,장미상가점,"서울특별시 송파구 올림픽로35길 124, 에이상가 2동 1층 102호(신천동, 장미아파트)",37.5173394829102,127.10071613049
서울,250,용산푸르지오써밋점,"서울특별시 용산구 한강대로 69, 상가동 1층 104-2호(한강로2가, 용산푸르지오써밋)",37.5270404595814,126.964892234354
서울,653,가양양천초점,"서울특별시 강서구 양천로 49길 39, 1층 1호(가양동)",37.5704181731949,126.840521141275
서울,955,용산센트럴파크점,"한강로2가 204, 용산호반써밋에이디션 1층 112호",37.5262795489202,126.966075923166
서울,805,신사가로수길점,"도산대로 139, 제이타워 B동 지하1층 2호",37.5182465379004,127.02371365338
서울,214,증미한화점,"서울특별시 강서구 양천로 551-24, 102호(가양동, 한화비즈메트로2차)",37.5588704565214,126.861958550884
서울,31,한강자이타워점,"서울특별시 강서구 양천로 401, A동 1층 116호(가양동, 강서한강자이타워)",37.5657034766638,126.847638315393
서울,908,논현중앙점,"학동로33길 40, B1층 전부",37.5174016184285,127.032281121601
서울,301,신사동점,"서울특별시 강남구 강남대로156길 8, 1층 103호(신사동)",37.5180361593217,127.019766601169
서울,50,우림블루나인점,"서울특별시 강서구 양천로 583, 1층 112호(염창동, 우림블루나인비즈니스센터)",37.5571161918617,126.864347419732
서울,485,강남구청점,"서울특별시 강남구 선릉로129길 11, 101호(논현동)",37.5161342955651,127.040651461041
서울,881,강서더리브골드타워점,"양천로 400-12, 더리브골드타워 1층 106호",37.5653423364178,126.84574846806
서울,455,봉은사역점,"서울특별시 강남구 영동대로112길 9, 지상1층 3호(삼성동)",37.5151959131335,127.060943454087
서울,494,신사점,"서울특별시 강남구 도산대로8길 5, 1층(논현동)",37.5166420609878,127.022167432906
서울,238,가양스카이밸리점,"서울특별시 강서구 화곡로 416, 1층 138호(등촌동, 가양역 더스카이밸리5차 지식산업센터)",37.5600240146894,126.855419700734
서울,970,마곡뉴브클라우드힐스점,"마곡중앙8로1길 81, 뉴브클라우드힐스 BT동 1층 110호",37.5685092627898,126.837632450912
서울,533,증미역NH서울타워점,"서울특별시 강서구 양천로 570, 1층 114호(등촌동, NH서울축산농협NH서울타워)",37.5566342630168,126.862027072667
서울,944,용산유플러스점,"한강대로14가길 24, 1층",37.5237997380883,126.964601097248
서울,561,강서IT밸리점,"서울특별시 강서구 화곡로68길 82,1층 111호(등촌동, 강서아이티밸리)",37.5575393170801,126.858301786025
서울,443,몽촌토성역점,"서울특별시 송파구 위례성대로2길 8, 1층 109,110호(방이동, 새천년잠실헤리츠오피스텔)",37.5163887038743,127.113198259566
서울,235,양천향교역점,"서울특별시 강서구 강서로 455, 101동 1층 117호(마곡동, 마곡경동미르웰)",37.5663256610483,126.840177846557
서울,512,루터회관점,"서울특별시 송파구 올림픽로35다길 42, 1층 101호(신천동, 루터회관)",37.5152535228382,127.103068896795
서울,704,학동역사거리점,"서울 강남구 논현로131길 12, B1층",37.5144764016439,127.029237615847
서울,211,잠실지하상가점,"서울특별시 송파구 송파대로 567, B동 15호(잠실동, 잠실역지하도상가)",37.5131381759342,127.09304868009
서울,353,방이점,"서울특별시 송파구 올림픽로30길 9, 1층 108호(방이동, 엘루이시티)",37.5149510447827,127.108219041552
서울,808,삼성중앙역점,"봉은사로 471, 힐스테이트2단지 상가1층 102호",37.5127262745682,127.051239538093
서울,673,학동점,"서울시 강남구 언주로 125길 8, 지상1층 104호",37.5131181288094,127.034606389548
서울,465,염창역점,"서울특별시 강서구 공항대로 637, 상가동 1층 101호(염창동, 염창현대아이파크아파트)",37.5475712417486,126.875932640151
서울,756,잠실엘스점,"서울 송파구 올림픽로 119, 잠실파인애플상가 1층 40호",37.5120843432468,127.084186279267
서울,765,방이2호점,"서울 송파구 오금로13길 3-11, 한길빌딩 1층 104호",37.5132297767223,127.108110685676
서울,676,여의도공원점,"서울시 영등포구 은행로 60-1, 1층 111호",37.5301951732171,126.925255768771
서울,377,선유도코오롱타워점,"서울특별시 영등포구 양평로22길 21, 1층 A107호(양평동5가, 선유도 코오롱디지털타워)",37.5398071417051,126.894657064548
서울,460,잠실리센츠점,"서울특별시 송파구 올림픽로 145, 상가동 1층 1에이91호(잠실동, 리센츠)",37.5119804600106,127.087041904838
서울,251,봉은사로선정릉점,"서울특별시 강남구 봉은사로 438, 지상1층(삼성동, 몽베르빌딩)",37.5112011272258,127.047844169183
서울,577,잠실종합운동장점,"서울특별시 송파구 올림픽로8길 4-11, 1층 101호(잠실동, 잠실 포레디움)",37.5111851724433,127.079324519028
